workload,config,ticks,instructions,cycles,dtlb_misses,itlb_misses,dwalk_4k,dwalk_16k,dwalk_32k,dwalk_64k,iwalk_4k,iwalk_16k,iwalk_32k,iwalk_64k,cpi
spec-xalanc,A,355746738500,365900765,711493477,1061996,28055,826775,0,0,231120,27459,0,0,0,1.9444984680477506
spec-xalanc,B,355310549500,365966635,710621099,764932,28072,252679,312952,0,196005,27473,0,0,0,1.9417647157916458
spec-xalanc,C,355038914000,365729466,710077828,680990,28034,369044,0,131716,176312,27440,0,0,0,1.941538470405882
spec-xalanc,D,355040050500,365949683,710080101,594132,28060,222161,86018,121795,160957,27464,0,0,0,1.9403763249058479
