workload,comparison,purpose,tick_gain_pct,instruction_delta_pct,cpi_delta_pct,dtlb_reduction_pct,itlb_reduction_pct
spec-xalanc,B_vs_A,add_16k,0.12261222740626757,0.018002148751998372,-0.14058906710528227,27.972233417075017,-0.06059525931206559
spec-xalanc,C_vs_A,add_32k,0.1989686547751723,-0.04681569878652755,-0.15222422082134127,35.87640631414808,0.07485296738549278
spec-xalanc,D_vs_B,add_32k_with_16k,0.07613030358390752,-0.004632116258357815,-0.07150149935811652,22.328782166257916,0.04274722143060701
spec-xalanc,D_vs_A,add_16k_and_32k,0.1986491859292197,0.013369198613181364,-0.2119900431724849,44.05515651659705,-0.017822135091783996
